StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,Q26_Browser,Q26_Version,Q26_Operating System,Q26_Resolution,QID54_First Click,QID54_Last Click,QID54_Page Submit,QID54_Click Count,real_imaginary,initials_box,describe,feelings_youalone,feelings_bothyoufirst,feelings_themalone,feelings_boththemfirst,feelings_neither,feelings_youaloneforgiven,feelings_DO_1,feelings_DO_2,feelings_DO_3,feelings_DO_4,feelings_DO_5,feelings_DO_6,feelings_exp,outcome_binary1,outcome_binary1_DO_1,outcome_binary1_DO_2,outcome_binary2,outcome_binary2_DO_1,outcome_binary2_DO_2,blame_1,attention_1,attention_1_TEXT,attention_2,attention_2_TEXT,attention_3,attention_3_TEXT,target_sex,target_sex_3_TEXT,sex,sex_3_TEXT,age,comments,mainControl,passedattn,lottery_draw,winner,initials,initiator_type,InitiatorType-binarychoice_DO_outcome_binary2,InitiatorType-binarychoice_DO_outcome_binary1,InitiatorType-binarychoice_DO_Q30,sentiment_score,sentiment_category,Tokens,LogProbs,Emotion_Score,Labels
2021-01-27 12:12:56,2021-01-27 12:16:04,IP Address,98.212.159.22,100,187,True,2021-01-27 12:16:04,R_2vex3Z2Y8UJUhho,,,,,40.1119995117187,-88.2365036010742,anonymous,EN,AGREE,Safari,14.0.2,Macintosh,1440x900,38.174,38.174,39.609,1.0,I have thought of a real argument/conflict from my life where this is true,lc,Can't agree at work,-19.0,0.0,-20.0,0.0,-10.0,-10.0,2.0,4.0,1.0,3.0,5.0,6.0,,Neither I nor ${e://Field/initials} apologizes.,1.0,2.0,Neither I nor ${e://Field/initials} apologizes.,1.0,2.0,40.0,,,,,,banana,Female,,Female,,29.0,,showConsentOn showAttnOn,yes,17,0,lc,never,2.0,3.0,1.0,-0.2755,Negative,,-0.032967255,0.9675702421578858,Negative
2021-01-27 12:12:57,2021-01-27 12:16:08,IP Address,73.110.74.18,100,190,True,2021-01-27 12:16:08,R_UWk2HHPXa0vxJEB,,,,,41.9208984375,-87.7042999267578,anonymous,EN,AGREE,Chrome,87.0.4280.141,Windows NT 10.0,1920x1080,12.719,12.719,13.599,1.0,I have thought of a real argument/conflict from my life where this is true,STX,"We were working on a project, and an experimental demonstration did not work out properly. After the mishap, I found a fix, but it was too late. The demonstration was really important to this person, and after the mishap he felt as if it would be difficult to trust me.",10.0,20.0,-19.0,30.0,-20.0,5.0,5.0,1.0,2.0,3.0,4.0,6.0,,"I apologize first, then ${e://Field/initials} apologizes.",2.0,1.0,"I apologize first, but ${e://Field/initials} does not apologize after that.",1.0,2.0,75.0,,,,,,banana,Male,,Male,,26.0,,showConsentOn showAttnOn,yes,7,0,STX,always,2.0,3.0,1.0,0.6848,Positive,,-0.03828476,0.9624388377828041,Negative
2021-01-27 12:12:42,2021-01-27 12:16:19,IP Address,24.1.229.0,100,216,True,2021-01-27 12:16:19,R_3dNe0dpi9xqXJE4,,,,,41.8986053466796,-87.7379989624023,anonymous,EN,AGREE,Chrome,87.0.4280.141,Macintosh,1920x1080,22.183,22.183,24.711,1.0,I have thought of a real argument/conflict from my life where this is true,EM,Disagreement about the process for input and timeline for delivery for a communication product.,-22.0,15.0,-1.0,12.0,-24.0,-29.0,5.0,2.0,1.0,3.0,4.0,6.0,,"I apologize first, then ${e://Field/initials} apologizes.",2.0,1.0,"I apologize first, but ${e://Field/initials} does not apologize after that.",1.0,2.0,50.0,,,,,,Banana,Female,,Male,,34.0,,showConsentOn showAttnOn,yes,35,0,EM,always,2.0,3.0,1.0,-0.3612,Negative,,-0.014487371,0.9856170660117105,Neutral
2021-01-27 12:12:39,2021-01-27 12:16:28,IP Address,73.110.45.82,100,228,True,2021-01-27 12:16:28,R_uthr22c7jsHMSUp,,,,,41.8710021972656,-87.6288986206054,anonymous,EN,AGREE,Chrome,88.0.4324.96,Macintosh,1440x900,20.323,31.935,35.455,5.0,I have thought of a real argument/conflict from my life where this is true,OSC,"We were yelling at each other about something simple, but it escalated into something else. My ego was scratched and I said some defensive angry remarks. ",-10.0,10.0,-4.0,7.0,4.0,12.0,1.0,5.0,3.0,4.0,2.0,6.0,,"I apologize first, then ${e://Field/initials} apologizes.",2.0,1.0,"I apologize first, but ${e://Field/initials} does not apologize after that.",1.0,2.0,46.0,,,,,,banana,Male,,Male,,20.0,,showConsentOn showAttnOn,yes,38,0,OSC,always,2.0,3.0,1.0,-0.6486,Negative,,-0.0025529503,0.9974503057062204,Negative
2021-01-27 12:12:43,2021-01-27 12:16:46,IP Address,72.83.222.239,100,242,True,2021-01-27 12:16:48,R_bBJ75JWs3W8KSgF,,,,,38.9488983154296,-76.935203552246,anonymous,EN,AGREE,Chrome,88.0.4324.104,Windows NT 10.0,1920x1200,29.019,29.019,42.399,1.0,I have thought of a real argument/conflict from my life where this is true,TR,I'm not comfortable writing this.,-30.0,8.0,1.0,20.0,-20.0,-30.0,2.0,1.0,3.0,5.0,4.0,6.0,,"I apologize first, then ${e://Field/initials} apologizes.",2.0,1.0,Neither I nor ${e://Field/initials} apologizes.,1.0,2.0,31.0,,,,,,Banana,Other,,Male,,149.0,don't use these data; was just clicking through.,showConsentOn showAttnOn,yes,37,0,TR,conditional,3.0,2.0,1.0,-0.4023,Negative,,-0.24996023,0.778831756594452,Negative
2021-01-27 12:12:49,2021-01-27 12:16:49,IP Address,108.7.50.47,100,240,True,2021-01-27 12:16:51,R_3p4o7ohyg5szGL4,,,,,42.4810028076171,-71.1563034057617,anonymous,EN,AGREE,Safari,13.0.5,Macintosh,1440x900,11.992,20.81,22.201,3.0,I am imagining myself in a fictional situation where this is true (I can't think of one from my own life),NM,There was a class assignment that was due and the work was designed as a group project. We split the work at the beginning and rushed to put it together at the end--one of the teammates did not do the correct part of the assignment so we were missing a segment altogether,-10.0,10.0,10.0,-10.0,20.0,-30.0,3.0,2.0,1.0,4.0,5.0,6.0,,Neither I nor ${e://Field/initials} apologizes.,1.0,2.0,Neither I nor ${e://Field/initials} apologizes.,1.0,2.0,59.0,,,,,,banana ,Female,,Male,,21.0,,showConsentOn showAttnOn,yes,28,0,NM,never,2.0,3.0,1.0,-0.3535,Negative,,-0.01746992,0.9826817942888815,Negative
2021-01-27 12:12:53,2021-01-27 12:16:56,IP Address,50.237.5.2,100,243,True,2021-01-27 12:16:57,R_usTgGl3mSlaJR29,,,,,41.888198852539,-87.6164016723632,anonymous,EN,AGREE,Chrome,87.0.4280.141,Macintosh,1440x900,13.573,13.573,14.85,1.0,I have thought of a real argument/conflict from my life where this is true,TS,This colleague felt that I was not delivering a creative/out of the box enough solution and I felt that I was providing as much as possible given the constraints I was working with. There was no extreme argument but I could tell that he was not pleased with my explanation.,-19.0,27.0,-30.0,30.0,-8.0,22.0,1.0,5.0,4.0,3.0,2.0,6.0,,"I apologize first, then ${e://Field/initials} apologizes.",2.0,1.0,"I apologize first, but ${e://Field/initials} does not apologize after that.",1.0,2.0,30.0,,,,,,banana,Male,,Female,,24.0,,showConsentOn showAttnOn,yes,23,0,TS,always,3.0,2.0,1.0,-0.5871,Negative,,-0.09022729,0.913723481457522,Neutral
2021-01-27 12:12:53,2021-01-27 12:16:58,IP Address,142.147.59.203,100,245,True,2021-01-27 12:16:58,R_2upnP4bUI9b7rme,,,,,41.8710021972656,-87.6288986206054,anonymous,EN,AGREE,Chrome,87.0.4280.141,Windows NT 10.0,1368x912,26.313,26.313,27.477,1.0,I have thought of a real argument/conflict from my life where this is true,MM,My manager didn't want to present an analysis that I had done to the client and we argued if it was worth presenting or not.,-21.0,5.0,-21.0,5.0,-10.0,-6.0,2.0,1.0,5.0,3.0,4.0,6.0,,"I apologize first, then ${e://Field/initials} apologizes.",2.0,1.0,"I apologize first, but ${e://Field/initials} does not apologize after that.",2.0,1.0,52.0,,,,,,banana,Female,,Male,,28.0,,showConsentOn showAttnOn,yes,32,0,MM,always,2.0,3.0,1.0,-0.2076,Negative,,-0.1284728,0.8794374827926293,Negative
2021-01-27 12:13:07,2021-01-27 12:17:16,IP Address,128.135.98.151,100,249,True,2021-01-27 12:17:16,R_5z2POi5gxcMK2Wd,,,,,41.7821044921875,-87.6045989990234,anonymous,EN,AGREE,Chrome,88.0.4324.104,Windows NT 10.0,1920x1080,34.663,34.663,37.399,1.0,I have thought of a real argument/conflict from my life where this is true,JI,"They did not do any work in a group project. Even when we made it easy for them to help, they refused and hurt our grade.",-30.0,-20.0,10.0,25.0,-5.0,-11.0,3.0,1.0,2.0,5.0,4.0,6.0,,Neither I nor ${e://Field/initials} apologizes.,2.0,1.0,Neither I nor ${e://Field/initials} apologizes.,2.0,1.0,10.0,,,,,,banana,Male,,Male,,18.0,,showConsentOn showAttnOn,yes,34,0,JI,never,2.0,3.0,1.0,-0.0,Neutral,,-0.0023913486,0.9976115083962516,Negative
2021-01-27 12:12:48,2021-01-27 12:17:19,IP Address,75.3.232.204,100,271,True,2021-01-27 12:17:20,R_2TAhz04fPgBTknX,,,,,41.888198852539,-87.6164016723632,anonymous,EN,AGREE,Chrome,87.0.4280.141,Windows NT 10.0,1280x720,5.087,29.23,38.276,2.0,I have thought of a real argument/conflict from my life where this is true,AG,Debate of FS reporting approach,-20.0,21.0,30.0,20.0,-30.0,-30.0,4.0,2.0,1.0,3.0,5.0,6.0,,"I apologize first, then ${e://Field/initials} apologizes.",1.0,2.0,"I apologize first, but ${e://Field/initials} does not apologize after that.",1.0,2.0,36.0,,,,,,banana,Female,,Female,,32.0,,showConsentOn showAttnOn,yes,24,0,AG,always,3.0,2.0,1.0,0.0,Neutral,,-0.0049636974,0.9950486013883703,Neutral
